2024-11-25 21:24:50.931 - MPKMini - INFO - Initializing Akai MPK Mini automation...
2024-11-25 21:24:50.962 - MPKMini - INFO - Pygame MIDI initialized successfully
2024-11-25 21:24:50.967 - MPKMini - INFO - Connected to Akai MPK Mini (Device ID: 1)
2024-11-25 21:24:51.802 - MPKMini - INFO - Configuration loaded successfully
2024-11-25 21:24:51.804 - MPKMini - INFO - Starting MIDI controller loop
2024-11-25 21:24:54.146 - MPKMini - INFO - System volume set to 0%
2024-11-25 21:24:54.189 - MPKMini - INFO - System volume set to 1%
2024-11-25 21:24:54.243 - MPKMini - INFO - System volume set to 2%
2024-11-25 21:24:54.284 - MPKMini - INFO - System volume set to 2%
2024-11-25 21:24:54.310 - MPKMini - INFO - System volume set to 3%
2024-11-25 21:24:54.335 - MPKMini - INFO - System volume set to 4%
2024-11-25 21:24:54.353 - MPKMini - INFO - System volume set to 5%
2024-11-25 21:24:54.555 - MPKMini - INFO - System volume set to 6%
2024-11-25 21:24:54.853 - MPKMini - INFO - System volume set to 6%
2024-11-25 21:24:54.960 - MPKMini - INFO - System volume set to 7%
2024-11-25 21:24:55.017 - MPKMini - INFO - System volume set to 8%
2024-11-25 21:24:55.047 - MPKMini - INFO - System volume set to 9%
2024-11-25 21:24:55.075 - MPKMini - INFO - System volume set to 10%
2024-11-25 21:24:55.133 - MPKMini - INFO - System volume set to 10%
2024-11-25 21:24:55.214 - MPKMini - INFO - System volume set to 11%
2024-11-25 21:24:55.240 - MPKMini - INFO - System volume set to 12%
2024-11-25 21:24:55.255 - MPKMini - INFO - System volume set to 13%
2024-11-25 21:24:55.283 - MPKMini - INFO - System volume set to 13%
2024-11-25 21:24:55.326 - MPKMini - INFO - System volume set to 14%
2024-11-25 21:24:55.364 - MPKMini - INFO - System volume set to 15%
2024-11-25 21:24:55.397 - MPKMini - INFO - System volume set to 16%
2024-11-25 21:24:55.491 - MPKMini - INFO - System volume set to 17%
2024-11-25 21:24:57.641 - MPKMini - INFO - Opened audio output selection
2024-11-25 21:25:03.288 - MPKMini - INFO - System volume set to 16%
2024-11-25 21:25:03.380 - MPKMini - INFO - System volume set to 15%
2024-11-25 21:25:03.614 - MPKMini - INFO - System volume set to 14%
