2024-11-25 18:03:25.081 - MPKMini - INFO - Initializing Akai MPK Mini automation...
2024-11-25 18:03:25.116 - MPKMini - INFO - Pygame MIDI initialized successfully
2024-11-25 18:04:45.291 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.337 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.380 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.422 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.468 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.514 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.557 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.603 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.648 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.690 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.730 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.779 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.825 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.867 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.914 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.955 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:45.999 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.047 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.091 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.135 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.182 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.226 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.268 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.317 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.365 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.414 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.461 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.504 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.548 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.598 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.642 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.687 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.739 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.788 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.838 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.884 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.928 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:46.971 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.018 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.068 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.112 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.157 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.204 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.250 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.304 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.352 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.395 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.440 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.484 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.534 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.580 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.627 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.671 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.717 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.766 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:47.810 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
