2024-11-25 21:24:27.279 - MPKMini - INFO - Spotify volume set to 80%
2024-11-25 21:24:27.302 - MPKMini - INFO - Spotify volume set to 79%
2024-11-25 21:24:27.323 - MPKMini - INFO - Spotify volume set to 78%
2024-11-25 21:24:27.372 - MPKMini - INFO - Spotify volume set to 77%
2024-11-25 21:24:27.393 - MPKMini - INFO - Spotify volume set to 76%
2024-11-25 21:24:27.406 - MPKMini - INFO - Spotify volume set to 75%
2024-11-25 21:24:27.418 - MPKMini - INFO - Spotify volume set to 75%
2024-11-25 21:24:27.430 - MPKMini - INFO - Spotify volume set to 74%
2024-11-25 21:24:27.440 - MPKMini - INFO - Spotify volume set to 73%
2024-11-25 21:24:27.451 - MPKMini - INFO - Spotify volume set to 72%
2024-11-25 21:24:27.460 - MPKMini - INFO - Spotify volume set to 71%
2024-11-25 21:24:27.472 - MPKMini - INFO - Spotify volume set to 71%
2024-11-25 21:24:27.483 - MPKMini - INFO - Spotify volume set to 69%
2024-11-25 21:24:27.494 - MPKMini - INFO - Spotify volume set to 68%
2024-11-25 21:24:27.505 - MPKMini - INFO - Spotify volume set to 67%
2024-11-25 21:24:27.524 - MPKMini - INFO - Spotify volume set to 67%
2024-11-25 21:24:27.535 - MPKMini - INFO - Spotify volume set to 66%
2024-11-25 21:24:27.554 - MPKMini - INFO - Spotify volume set to 65%
2024-11-25 21:24:27.571 - MPKMini - INFO - Spotify volume set to 63%
2024-11-25 21:24:27.582 - MPKMini - INFO - Spotify volume set to 63%
2024-11-25 21:24:27.596 - MPKMini - INFO - Spotify volume set to 62%
2024-11-25 21:24:27.612 - MPKMini - INFO - Spotify volume set to 61%
2024-11-25 21:24:27.626 - MPKMini - INFO - Spotify volume set to 60%
2024-11-25 21:24:27.637 - MPKMini - INFO - Spotify volume set to 60%
2024-11-25 21:24:27.651 - MPKMini - INFO - Spotify volume set to 59%
2024-11-25 21:24:27.676 - MPKMini - INFO - Spotify volume set to 58%
2024-11-25 21:24:27.687 - MPKMini - INFO - Spotify volume set to 57%
2024-11-25 21:24:27.702 - MPKMini - INFO - Spotify volume set to 56%
2024-11-25 21:24:27.717 - MPKMini - INFO - Spotify volume set to 55%
2024-11-25 21:24:27.736 - MPKMini - INFO - Spotify volume set to 54%
2024-11-25 21:24:27.749 - MPKMini - INFO - Spotify volume set to 53%
2024-11-25 21:24:27.760 - MPKMini - INFO - Spotify volume set to 52%
2024-11-25 21:24:27.771 - MPKMini - INFO - Spotify volume set to 52%
2024-11-25 21:24:27.786 - MPKMini - INFO - Spotify volume set to 51%
2024-11-25 21:24:27.801 - MPKMini - INFO - Spotify volume set to 50%
2024-11-25 21:24:27.823 - MPKMini - INFO - Spotify volume set to 49%
2024-11-25 21:24:27.860 - MPKMini - INFO - Spotify volume set to 48%
2024-11-25 21:24:27.888 - MPKMini - INFO - Spotify volume set to 48%
2024-11-25 21:24:27.899 - MPKMini - INFO - Spotify volume set to 47%
2024-11-25 21:24:27.910 - MPKMini - INFO - Spotify volume set to 46%
2024-11-25 21:24:27.929 - MPKMini - INFO - Spotify volume set to 45%
2024-11-25 21:24:27.943 - MPKMini - INFO - Spotify volume set to 44%
2024-11-25 21:24:27.954 - MPKMini - INFO - Spotify volume set to 43%
2024-11-25 21:24:27.965 - MPKMini - INFO - Spotify volume set to 42%
